matcher,sequence,pairs_processed,pairs_failed_matching,pairs_failed_homography_estimation,average_reprojection_error,total_time_s
RoMA,i_ajuntament,5,0,0,0.4727087616920471,53.58322358131409
HomoMatcherLite,i_ajuntament,5,0,0,0.7467726111412049,25.792530298233032
RoMA,i_autannes,5,0,0,0.6318412244319915,21.244433403015137
HomoMatcherLite,i_autannes,5,0,0,0.3283996507525444,2.9981963634490967
RoMA,i_bologna,5,0,0,0.17831125259399414,20.816606998443604
HomoMatcherLite,i_bologna,5,0,0,0.3143438071012497,0.8972883224487305
RoMA,i_books,5,0,0,0.047338638454675674,20.54112195968628
HomoMatcherLite,i_books,5,0,0,0.11476396471261978,1.3531155586242676
RoMA,i_boutique,5,0,0,0.16838004887104036,20.587467432022095
HomoMatcherLite,i_boutique,5,0,0,0.3029531121253967,1.358670949935913
RoMA,i_bridger,5,0,0,0.47797399163246157,20.92815661430359
HomoMatcherLite,i_bridger,5,0,0,0.2918805003166199,2.0499954223632812
RoMA,i_brooklyn,5,0,0,2.7875665426254272,20.70610809326172
HomoMatcherLite,i_brooklyn,5,0,0,2.1658358454704283,2.3489017486572266
RoMA,i_castle,5,0,0,0.4156902879476547,20.721720457077026
HomoMatcherLite,i_castle,5,0,0,0.2430911496281624,0.9912824630737305
RoMA,i_chestnuts,5,0,0,0.05064976848661899,20.948429346084595
HomoMatcherLite,i_chestnuts,5,0,0,0.10621552392840386,1.3660314083099365
RoMA,i_contruction,5,0,0,0.17252562940120697,21.55636239051819
HomoMatcherLite,i_contruction,5,5,0,inf,124.28122973442078
RoMA,i_crownday,5,0,0,0.6074224054813385,31.123693227767944
HomoMatcherLite,i_crownday,5,0,0,0.3357102990150452,17.573285341262817
RoMA,i_crownnight,5,0,0,0.46475363373756406,21.810344457626343
HomoMatcherLite,i_crownnight,5,0,0,0.4019012749195099,31.740050554275513
RoMA,i_dc,5,0,0,1.7240464210510253,23.223806619644165
HomoMatcherLite,i_dc,5,5,0,inf,194.54261255264282
RoMA,i_dome,5,0,0,0.3474459618330002,24.633829593658447
HomoMatcherLite,i_dome,5,0,0,0.37126788645982745,5.311923503875732
RoMA,i_duda,5,0,0,0.4855138182640076,20.783324003219604
HomoMatcherLite,i_duda,5,0,0,0.24570440053939818,1.7042877674102783
RoMA,i_fenis,5,0,0,0.532892856001854,20.85097360610962
HomoMatcherLite,i_fenis,5,0,0,0.3699925929307938,0.945652961730957
RoMA,i_fog,5,0,0,0.1344728723168373,20.65923547744751
HomoMatcherLite,i_fog,5,0,0,0.15932584255933763,0.9348094463348389
RoMA,i_fruits,5,0,0,0.2556409418582916,20.628211498260498
HomoMatcherLite,i_fruits,5,0,0,0.18458016216754913,0.9485392570495605
RoMA,i_gonnenberg,5,0,0,0.16241903901100158,20.606252193450928
HomoMatcherLite,i_gonnenberg,5,0,0,0.11585364863276482,0.9141261577606201
RoMA,i_greenhouse,5,0,0,0.4860818266868591,20.518374919891357
HomoMatcherLite,i_greenhouse,5,0,0,0.29505797997117045,1.0511457920074463
RoMA,i_greentea,5,0,0,0.04366373904049396,20.825531482696533
HomoMatcherLite,i_greentea,5,0,0,0.0934874325990677,1.3528404235839844
RoMA,i_indiana,5,0,0,0.4287530243396759,20.767817497253418
HomoMatcherLite,i_indiana,5,0,0,0.20475721955299378,2.130060911178589
RoMA,i_kions,5,0,0,0.7176343023777008,20.62931180000305
HomoMatcherLite,i_kions,5,0,0,0.5669413268566131,1.0476348400115967
RoMA,i_ktirio,5,0,0,0.2257445529103279,20.50199270248413
HomoMatcherLite,i_ktirio,5,0,0,0.20898838639259337,1.0388567447662354
RoMA,i_kurhaus,5,0,0,0.2926060453057289,20.72079062461853
HomoMatcherLite,i_kurhaus,5,0,0,0.15522127598524094,2.449474573135376
RoMA,i_leuven,5,0,0,2.11528217792511,20.86733365058899
HomoMatcherLite,i_leuven,5,0,0,4.913949251174927,1.5025231838226318
RoMA,i_lionday,5,0,0,1.346461546421051,20.86442995071411
HomoMatcherLite,i_lionday,5,0,0,1.1396936058998108,0.9742529392242432
RoMA,i_lionnight,5,0,0,1.1176867961883545,20.601547956466675
HomoMatcherLite,i_lionnight,5,0,0,1.0749372005462647,1.008105754852295
RoMA,i_londonbridge,5,0,0,3.6330631971359253,20.971839427947998
HomoMatcherLite,i_londonbridge,5,0,0,2.6368662238121034,73.70517754554749
RoMA,i_melon,5,0,0,0.1324913904070854,43.328354835510254
HomoMatcherLite,i_melon,5,0,0,0.1565822258591652,1.270803689956665
RoMA,i_miniature,5,0,0,0.10312826186418533,20.424803972244263
HomoMatcherLite,i_miniature,5,0,0,0.26326644122600557,1.314927101135254
RoMA,i_nescafe,5,0,0,0.05633651986718178,20.726476192474365
HomoMatcherLite,i_nescafe,5,0,0,0.09433403834700585,1.3765175342559814
RoMA,i_nijmegen,5,0,0,1.5511719703674316,23.204035758972168
HomoMatcherLite,i_nijmegen,5,0,0,1.2194674968719483,41.11776328086853
RoMA,i_nuts,5,0,0,0.2807161808013916,35.39884686470032
HomoMatcherLite,i_nuts,5,0,0,0.2790383458137512,0.9174914360046387
RoMA,i_objects,5,0,0,1.3022769808769226,20.360215663909912
HomoMatcherLite,i_objects,5,0,0,1.1575681805610656,2.3327834606170654
RoMA,i_parking,5,0,0,0.7757452964782715,20.841286420822144
HomoMatcherLite,i_parking,5,0,0,0.5017658025026321,0.9760181903839111
RoMA,i_partyfood,5,0,0,0.6292051792144775,20.764408826828003
HomoMatcherLite,i_partyfood,5,0,0,0.17350463569164276,1.6044855117797852
RoMA,i_pencils,5,0,0,4.865701961517334,20.98180890083313
HomoMatcherLite,i_pencils,5,0,0,3.637890708446503,82.25382232666016
RoMA,i_pinard,5,0,0,0.09808726757764816,31.94176983833313
HomoMatcherLite,i_pinard,5,0,0,0.21852516233921052,1.3083078861236572
RoMA,i_pool,5,0,0,0.42215839624404905,20.929991722106934
HomoMatcherLite,i_pool,5,0,0,0.37606562972068786,1.2057311534881592
RoMA,i_porta,5,0,0,0.21726577281951903,20.60896325111389
HomoMatcherLite,i_porta,5,0,0,0.49362496137619016,0.945406436920166
RoMA,i_resort,5,0,0,0.49079306423664093,20.78882598876953
HomoMatcherLite,i_resort,5,0,0,0.3501679956912994,1.9412448406219482
RoMA,i_salon,5,0,0,0.10417717695236206,21.014872789382935
HomoMatcherLite,i_salon,5,0,0,0.24182771742343903,1.3726129531860352
RoMA,i_santuario,5,0,0,1.9467562675476073,20.799303770065308
HomoMatcherLite,i_santuario,5,0,0,1.589855581521988,1.5123066902160645
RoMA,i_school,5,0,0,0.6515229001641274,20.638696670532227
HomoMatcherLite,i_school,5,0,0,0.5432569116353989,1.0043714046478271
RoMA,i_ski,5,0,0,0.5130398571491241,20.75092840194702
HomoMatcherLite,i_ski,5,0,0,0.34906778037548064,1.0138776302337646
RoMA,i_smurf,5,0,0,0.12816576063632965,20.925119638442993
HomoMatcherLite,i_smurf,5,0,0,0.19411014914512634,1.3789918422698975
RoMA,i_steps,5,0,0,0.9274927020072937,20.819132328033447
HomoMatcherLite,i_steps,5,0,0,0.5645504057407379,1.6745681762695312
RoMA,i_table,5,0,0,1.3052847385406494,21.23681354522705
HomoMatcherLite,i_table,5,0,0,1.1498262941837312,2.3629298210144043
RoMA,i_tools,5,0,0,3.5172001838684084,20.982049465179443
HomoMatcherLite,i_tools,5,0,0,3.2398938179016112,1.9220178127288818
RoMA,i_toy,5,0,0,0.12905386090278625,20.887033700942993
HomoMatcherLite,i_toy,5,0,0,0.20923729985952377,0.9932806491851807
RoMA,i_troulos,5,0,0,1.4702832400798798,20.88977599143982
HomoMatcherLite,i_troulos,5,0,0,0.625091552734375,0.9777927398681641
RoMA,i_veggies,5,0,0,0.06600610613822937,20.647113800048828
HomoMatcherLite,i_veggies,5,0,0,0.0846568301320076,1.3357841968536377
RoMA,i_village,5,0,0,0.18141781091690062,20.7594096660614
HomoMatcherLite,i_village,5,0,0,0.1563154473900795,0.9510347843170166
RoMA,i_whitebuilding,5,0,0,0.30298416316509247,21.44630789756775
HomoMatcherLite,i_whitebuilding,5,5,0,inf,105.72326517105103
RoMA,i_yellowtent,5,0,0,0.08475728407502174,31.739115476608276
HomoMatcherLite,i_yellowtent,5,0,0,0.2724015682935715,1.3510468006134033
RoMA,i_zion,5,0,0,0.798319399356842,21.480677604675293
HomoMatcherLite,i_zion,5,0,0,0.5349572718143463,1.7989888191223145
RoMA,v_abstract,5,0,0,0.7953092813491821,21.339970111846924
HomoMatcherLite,v_abstract,5,0,0,2.1903205633163454,6.1034839153289795
RoMA,v_adam,5,0,0,0.6441653728485107,20.340051412582397
HomoMatcherLite,v_adam,5,0,0,2.3247498989105226,0.9489119052886963
RoMA,v_apprentices,5,0,0,0.44943453967571256,20.560213804244995
HomoMatcherLite,v_apprentices,5,0,0,2.1047340631484985,10.329397201538086
RoMA,v_artisans,5,0,0,356.6349865734577,20.543310403823853
HomoMatcherLite,v_artisans,5,0,0,458.62184606194495,1.9523286819458008
RoMA,v_astronautis,5,0,0,1.1468189835548401,20.783005714416504
HomoMatcherLite,v_astronautis,5,0,0,4.258897399902343,20.34406328201294
RoMA,v_azzola,5,0,0,1.4831748247146606,22.850531816482544
HomoMatcherLite,v_azzola,5,0,0,2.5816063404083254,2.161283254623413
RoMA,v_bark,5,0,0,151.3883139014244,21.341007471084595
HomoMatcherLite,v_bark,5,0,0,445.76365488767624,1.111414909362793
RoMA,v_bees,5,0,0,0.8090515375137329,20.778761863708496
HomoMatcherLite,v_bees,5,0,0,1.674093747138977,2.2301464080810547
RoMA,v_beyus,5,0,0,0.6044915080070495,20.9072368144989
HomoMatcherLite,v_beyus,5,0,0,2.1631311655044554,1.8514418601989746
RoMA,v_bip,5,0,0,0.31397826671600343,20.837767362594604
HomoMatcherLite,v_bip,5,0,0,683.2838413476944,1.1207375526428223
RoMA,v_bird,5,0,0,2.7576165556907655,20.99098300933838
HomoMatcherLite,v_bird,5,0,0,3.097628688812256,1.7988834381103516
RoMA,v_birdwoman,5,0,0,0.43238425552845,20.774818420410156
HomoMatcherLite,v_birdwoman,5,0,0,1.7362691640853882,1.6255426406860352
RoMA,v_blueprint,5,0,0,0.6641350507736206,20.91249990463257
HomoMatcherLite,v_blueprint,5,0,0,1.7928956031799317,2.04906964302063
RoMA,v_boat,5,0,0,0.44833469986915586,20.845383882522583
HomoMatcherLite,v_boat,5,0,0,95.87913008332252,1.3565514087677002
RoMA,v_bricks,5,0,0,0.2896604061126709,20.584755659103394
HomoMatcherLite,v_bricks,5,0,0,2.0808974504470825,1.552687644958496
RoMA,v_busstop,5,0,0,0.5673182010650635,21.110692739486694
HomoMatcherLite,v_busstop,5,0,0,2.0928955078125,10.56148648262024
RoMA,v_calder,5,0,0,0.4022564351558685,22.208633422851562
HomoMatcherLite,v_calder,5,0,0,0.5700568586587906,1.595062017440796
RoMA,v_cartooncity,5,0,0,0.5397389024496079,20.91106867790222
